ExportID	DM1b	DM1_Agm1_Arg0	DM1_70Arg70Ac
EX_3mb(e)	0	0	0
EX_4abz(e)	0.000364602	0.000364602	0.000364602
EX_M03134(e)	0	0	0
EX_ac(e)	9.142996465	0.914299646	6.4
EX_agm(e)	0	57.38818066	0
EX_ala_L(e)	0	0	0
EX_arg_L(e)	57.40495175	0	40.18346626
EX_ascb_L(e)	3.179576219	3.179576219	3.179576219
EX_asn_L(e)	0	0	0
EX_asp_L(e)	0	0	0
EX_b12(e)	7.38e-08	7.38e-08	7.38e-08
EX_btn(e)	8.19e-05	8.19e-05	8.19e-05
EX_but(e)	0	0	0
EX_ca2(e)	0.081200625	0.081200625	0.081200625
EX_cellb(e)	0	0	0
EX_cit(e)	0	0	0
EX_citr_L(e)	0	0	0
EX_cl(e)	29.97535589	29.97535589	29.97535589
EX_cobalt2(e)	0.004234508	0.004234508	0.004234508
EX_cu2(e)	0.00095186	0.00095186	0.00095186
EX_cys_L(e)	4.126835823	4.126835823	4.126835823
EX_fe2(e)	0.008992159	0.008992159	0.008992159
EX_fol(e)	4.53e-05	4.53e-05	4.53e-05
EX_for(e)	0	0	0
EX_fru(e)	0	0	0
EX_fum(e)	0	0	0
EX_glc_D(e)	0	0	0
EX_gln_L(e)	0	0	0
EX_glu_L(e)	0	0	0
EX_gly(e)	0	0	0
EX_glyb(e)	0	0	0
EX_h2(e)	137.2015616	137.2015616	137.2015616
EX_h2o(e)	0.184020108	0.184020108	0.184020108
EX_hco3(e)	4.76150797	4.76150797	4.76150797
EX_his_L(e)	0.483388826	0.483388826	0.483388826
EX_ile_L(e)	1.829646215	1.829646215	1.829646215
EX_isobut(e)	0	0	0
EX_isoval(e)	0	0	0
EX_k(e)	137.3339363	137.3339363	137.3339363
EX_lcts(e)	0	0	0
EX_leu_L(e)	7.623525896	7.623525896	7.623525896
EX_lipoate(e)	0.000242335	0.000242335	0.000242335
EX_lys_L(e)	1.710131365	1.710131365	1.710131365
EX_malt(e)	0	0	0
EX_met_L(e)	0.837738161	0.837738161	0.837738161
EX_mg2(e)	4.175867136	4.175867136	4.175867136
EX_mn2(e)	0.029582298	0.029582298	0.029582298
EX_mndn(e)	0.005807875	0.005807875	0.005807875
EX_mobd(e)	0.000567048	0.000567048	0.000567048
EX_na1(e)	39.74374554	31.51504872	39.74374554
EX_nac(e)	0.000406143	0.000406143	0.000406143
EX_nad(e)	0.003010085	0.003010085	0.003010085
EX_nh4(e)	0.000153739	0.000153739	0.000153739
EX_ni2(e)	0.000841429	0.000841429	0.000841429
EX_no3(e)	0.003435954	0.003435954	0.003435954
EX_orn(e)	0	0	0
EX_phe_L(e)	2.421467276	2.421467276	2.421467276
EX_pheme(e)	0.002638278	0.002638278	0.002638278
EX_pi(e)	137.2015616	137.2015616	137.2015616
EX_pnto_R(e)	0.000104932	0.000104932	0.000104932
EX_ppa(e)	0	0	0
EX_pro_L(e)	3.040028489	3.040028489	3.040028489
EX_pydam(e)	0.029727736	0.029727736	0.029727736
EX_pydxn(e)	0.000591094	0.000591094	0.000591094
EX_pyr(e)	0	0	0
EX_ribflv(e)	0.00013285	0.00013285	0.00013285
EX_ser_L(e)	4.757708916	4.757708916	4.757708916
EX_slnt(e)	5.78e-05	5.78e-05	5.78e-05
EX_so4(e)	0.311000029	57.69918069	0.311000029
EX_succ(e)	0	0	0
EX_thm(e)	0.000188427	0.000188427	0.000188427
EX_thr_L(e)	4.197476142	4.197476142	4.197476142
EX_trp_L(e)	0.489655537	0.489655537	0.489655537
EX_tungs(e)	0.000303168	0.000303168	0.000303168
EX_tyr_L(e)	0.827867111	0.827867111	0.827867111
EX_ura(e)	0.205198114	0.205198114	0.205198114
EX_val_L(e)	5.975434137	5.975434137	5.975434137
EX_zn2(e)	0.017385257	0.017385257	0.017385257
